Bin Start (GeV),Bin End (Gev),m_lljj,m_lljj(j)
0.0,50.0,0.0,0.0
50.0,100.0,0.0,0.0
100.0,150.0,0.0,0.0
150.0,200.0,0.0,0.0
200.0,250.0,0.0,0.0
250.0,300.0,0.0,0.0
300.0,350.0,0.0,0.0
350.0,400.0,0.0,0.0
400.0,450.0,0.0,0.0
450.0,500.0,0.0,0.0
500.0,550.0,0.0,0.0
550.0,600.0,0.0,0.0
600.0,650.0,0.0,0.0
650.0,700.0,0.0,0.0
700.0,750.0,0.0,0.0
750.0,800.0,0.0,0.0
800.0,850.0,0.14914073508291953,0.05977584561037519
850.0,900.0,0.11955169122075038,0.05977584561037519
900.0,950.0,0.1488418561399011,0.1189539333347135
950.0,1000.0,0.3281693929710267,0.2388045034984823
1000.0,1050.0,0.23850562455546387,0.14914073508291953
1050.0,1100.0,0.23850562455546387,0.14884185613990109
1100.0,1150.0,0.5663791260902519,0.417534282443571
1150.0,1200.0,0.715522848679951,0.4181320403296079
1200.0,1250.0,0.6859278298042225,0.417534282443571
1250.0,1300.0,0.9531288488995798,0.6844364225959101
1300.0,1350.0,1.3117839225618309,0.8353734188437199
1350.0,1400.0,1.1336489139959995,0.8347726734509032
1400.0,1450.0,1.4307408434033242,1.2816001083204047
1450.0,1500.0,2.294202936380562,1.0143990892250474
1500.0,1550.0,2.9822229187859133,1.25320060521675
1550.0,1600.0,3.0405163197083147,1.4313386012893612
1600.0,1650.0,4.024130822577234,1.8784589400883216
1650.0,1700.0,4.7710270262571255,2.265220586202883
1700.0,1750.0,5.9964229254713635,2.5046109242821686
1750.0,1800.0,8.051220612960627,3.1316655203186308
1800.0,1850.0,9.543228709182637,4.289538594736366
1850.0,1900.0,12.170977872001778,5.5771043051681355
1900.0,1950.0,13.269690496920951,5.6631991912151385
1950.0,2000.0,15.693491007099222,7.872496809029098
2000.0,2050.0,18.348524568747273,11.273446538523874
2050.0,2100.0,22.343652208765025,15.479878776550404
2100.0,2150.0,24.704505206445386,21.54204912475707
2150.0,2200.0,29.313595270899796,29.347803510961917
2200.0,2250.0,34.31137723573507,36.72662924555826
2250.0,2300.0,38.937122119051274,42.33809276109351
2300.0,2350.0,44.11313941944031,51.69032562269308
2350.0,2400.0,43.37659371774677,50.147415713172634
2400.0,2450.0,36.210291945608525,42.80775800805006
2450.0,2500.0,24.33178185468858,31.05028207976073
2500.0,2550.0,13.912834055080056,19.423663658268865
2550.0,2600.0,7.222730372326669,11.792593772090186
2600.0,2650.0,4.5076965226089944,8.23860593122613
2650.0,2700.0,3.4616222119342086,6.386756208090132
2700.0,2750.0,2.1504360472584145,4.627848959222562
2750.0,2800.0,1.5825655139598502,3.4338234542233703
2800.0,2850.0,1.8500624244914465,3.0434901716046006
2850.0,2900.0,1.639352570140041,2.5064012104334994
2900.0,2950.0,0.8664508824074217,1.4929017455442875
2950.0,3000.0,0.8039881138166604,1.2218212752032498
3000.0,3050.0,0.6862267087472409,1.162948014713604
3050.0,3100.0,0.23820674561244545,0.8350715523939217
3100.0,3150.0,0.506902159422895,0.7454077839783589
3150.0,3200.0,0.4477240716985567,0.7155198611731713
3200.0,3250.0,0.3284682719140451,0.4480199631347954
3250.0,3300.0,0.3281693929710267,0.5077958087451706
3300.0,3350.0,0.41843091927262627,0.4483188420778139
3350.0,3400.0,0.17902865788810712,0.26869242630366996
3400.0,3450.0,0.17932753683112554,0.17932753683112557
3450.0,3500.0,0.08966376841556277,0.17932753683112554
3500.0,3550.0,0.20831882280725783,0.2976837122798022
3550.0,3600.0,0.08936488947254434,0.2388045034984823
3600.0,3650.0,0.20861770175027627,0.14914073508291953
3650.0,3700.0,0.05947696666735676,0.14914073508291953
3700.0,3750.0,0.05977584561037519,0.08966376841556278
3750.0,3800.0,0.029887922805187594,0.029887922805187594
3800.0,3850.0,0.029589043862169165,0.029589043862169165
3850.0,3900.0,0.029887922805187594,0.029887922805187594
3900.0,3950.0,0.11955169122075038,0.11955169122075036
3950.0,4000.0,0.0,0.029887922805187594
4000.0,4050.0,0.029887922805187594,0.029887922805187594
4050.0,4100.0,0.0,0.0
4100.0,4150.0,0.029589043862169165,0.029589043862169165
4150.0,4200.0,0.029887922805187594,0.029887922805187594
4200.0,4250.0,0.0,0.0
4250.0,4300.0,0.0,0.0
4300.0,4350.0,0.029589043862169165,0.029589043862169165
4350.0,4400.0,0.0,0.0
